index,Size,Fluo,Clarity,Cut,Polish,Symmetry,D,E,F,G,H,I,J,K,L,M
919,0.95-0.99,None,SI2,VG,GD,EX,-45.0,-41.0,-40.0,-37,-39,-38,-37,-35,-36,-39
920,0.95-0.99,None,VS1,VG,GD,EX,-45.0,-41.0,-38.0,-38,-38,-38,-36,-36,-37,-38
921,0.95-0.99,None,VS2,VG,GD,EX,-37.0,-36.0,-39.0,-37,-41,-40,-42,-36,-36,-37
922,0.95-0.99,None,VVS1,VG,GD,EX,-43.0,-40.0,-41.0,-42,-43,-40,-36,-36,-41,-42
923,0.95-0.99,None,VVS2,VG,GD,EX,-45.0,-44.0,-40.0,-42,-41,-39,-39,-35,-41,-41
924,0.30-0.34,Faint,IF,EX,GD,EX,-56.0,-51.0,-51.0,-54,-55,-53,-53,-53,-48,-50
925,0.30-0.34,Faint,SI1,EX,GD,EX,-54.0,-55.0,-54.0,-49,-49,-50,-47,-47,-47,-45
926,0.30-0.34,Faint,SI2,EX,GD,EX,-54.0,-56.0,-53.0,-47,-48,-48,-45,-49,-49,-45
927,0.30-0.34,Faint,VS1,EX,GD,EX,-52.0,-55.0,-53.0,-50,-50,-50,-49,-47,-46,-47
928,0.30-0.34,Faint,VS2,EX,GD,EX,-56.0,-56.0,-54.0,-50,-49,-51,-49,-46,-47,-45
929,0.30-0.34,Faint,VVS1,EX,GD,EX,-53.0,-49.0,-49.0,-53,-53,-51,-51,-51,-47,-53
930,0.30-0.34,Faint,VVS2,EX,GD,EX,-54.0,-53.0,-53.0,-51,-52,-52,-52,-50,-49,-51
931,0.35-0.39,Faint,IF,EX,GD,EX,-51.0,-39.0,-45.0,-49,-49,-49,-49,-49,-47,-43
932,0.35-0.39,Faint,SI1,EX,GD,EX,-48.0,-52.0,-51.0,-49,-46,-43,-36,-43,-42,-43
933,0.35-0.39,Faint,SI2,EX,GD,EX,-50.0,-51.0,-50.0,-47,-47,-44,-41,-47,-43,-43
934,0.35-0.39,Faint,VS1,EX,GD,EX,-48.0,-53.0,-51.0,-49,-48,-46,-41,-45,-42,-43
935,0.35-0.39,Faint,VS2,EX,GD,EX,-51.0,-54.0,-52.0,-49,-46,-46,-39,-43,-44,-43
936,0.35-0.39,Faint,VVS1,EX,GD,EX,-47.0,-41.0,-45.0,-49,-48,-48,-46,-48,-46,-44
937,0.35-0.39,Faint,VVS2,EX,GD,EX,-50.0,-48.0,-48.0,-51,-49,-49,-45,-48,-45,-47
938,0.40-0.44,Faint,IF,EX,GD,EX,-43.0,-38.0,-38.0,-41,-39,-44,-43,-44,-41,-45
939,0.40-0.44,Faint,IF,EX,GD,EX,-43.0,-38.0,-38.0,-41,-39,-44,-43,-44,-41,-45
940,0.40-0.44,Faint,SI1,EX,GD,EX,-48.0,-45.0,-44.0,-41,-40,-40,-40,-43,-45,-42
941,0.40-0.44,Faint,SI1,EX,GD,EX,-48.0,-45.0,-44.0,-41,-40,-40,-40,-43,-45,-42
942,0.40-0.44,Faint,SI2,EX,GD,EX,-50.0,-50.0,-47.0,-44,-42,-40,-41,-40,-38,-40
943,0.40-0.44,Faint,SI2,EX,GD,EX,-50.0,-50.0,-47.0,-44,-42,-40,-41,-40,-38,-40
944,0.40-0.44,Faint,VS1,EX,GD,EX,-48.0,-44.0,-43.0,-40,-39,-46,-44,-44,-45,-45
945,0.40-0.44,Faint,VS1,EX,GD,EX,-48.0,-44.0,-43.0,-40,-39,-46,-44,-44,-45,-45
946,0.40-0.44,Faint,VS2,EX,GD,EX,-49.0,-48.0,-46.0,-42,-39,-46,-43,-44,-46,-43
947,0.40-0.44,Faint,VS2,EX,GD,EX,-49.0,-48.0,-46.0,-42,-39,-46,-43,-44,-46,-43
948,0.40-0.44,Faint,VVS1,EX,GD,EX,-42.0,-37.0,-38.0,-39,-39,-45,-45,-45,-40,-43
949,0.40-0.44,Faint,VVS1,EX,GD,EX,-42.0,-37.0,-38.0,-39,-39,-45,-45,-45,-40,-43
950,0.40-0.44,Faint,VVS2,EX,GD,EX,-46.0,-43.0,-41.0,-40,-40,-47,-45,-46,-46,-45
951,0.40-0.44,Faint,VVS2,EX,GD,EX,-46.0,-43.0,-41.0,-40,-40,-47,-45,-46,-46,-45
952,0.45-0.49,Faint,IF,EX,GD,EX,-36.0,-28.0,-25.0,-24,-27,-30,-28,-40,-34,-32
953,0.45-0.49,Faint,SI1,EX,GD,EX,-39.0,-35.0,-34.0,-31,-28,-31,-31,-32,-32,-37
954,0.45-0.49,Faint,SI2,EX,GD,EX,-45.0,-43.0,-40.0,-36,-32,-32,-31,-32,-31,-39
955,0.45-0.49,Faint,VS1,EX,GD,EX,-37.0,-33.0,-32.0,-28,-29,-34,-36,-33,-35,-37
956,0.45-0.49,Faint,VS2,EX,GD,EX,-33.0,-36.0,-35.0,-31,-27,-32,-33,-33,-33,-37
957,0.45-0.49,Faint,VVS1,EX,GD,EX,-32.0,-26.0,-25.0,-27,-28,-35,-32,-37,-32,-33
958,0.45-0.49,Faint,VVS2,EX,GD,EX,-39.0,-35.0,-31.0,-28,-29,-34,-38,-36,-35,-41
959,0.50-0.59,Faint,IF,EX,GD,EX,-53.0,-47.0,-48.0,-47,-51,-50,-46,-44,-45,-44
960,0.50-0.59,Faint,SI1,EX,GD,EX,-53.0,-54.0,-53.0,-53,-49,-49,-49,-48,-46,-48
961,0.50-0.59,Faint,SI2,EX,GD,EX,-52.0,-53.0,-52.0,-53,-51,-52,-49,-49,-46,-43
962,0.50-0.59,Faint,VS1,EX,GD,EX,-55.0,-54.0,-54.0,-51,-51,-50,-47,-47,-45,-45
963,0.50-0.59,Faint,VS2,EX,GD,EX,-56.0,-56.0,-55.0,-52,-51,-50,-49,-50,-44,-45
964,0.50-0.59,Faint,VVS1,EX,GD,EX,-53.0,-46.0,-48.0,-48,-51,-51,-48,-44,-44,-46
965,0.50-0.59,Faint,VVS2,EX,GD,EX,-57.0,-53.0,-53.0,-50,-50,-50,-49,-48,-43,-46
966,0.70-0.74,Faint,IF,EX,GD,EX,-48.0,-42.0,-39.0,-44,-50,-47,-44,-44,-39,-42
967,0.70-0.74,Faint,SI1,EX,GD,EX,-54.0,-52.0,-48.0,-48,-46,-45,-42,-40,-43,-46
968,0.70-0.74,Faint,SI2,EX,GD,EX,-54.0,-53.0,-52.0,-52,-48,-45,-44,-45,-43,-47
969,0.70-0.74,Faint,VS1,EX,GD,EX,-49.0,-49.0,-47.0,-44,-49,-42,-40,-42,-44,-50
970,0.70-0.74,Faint,VS2,EX,GD,EX,-53.0,-50.0,-48.0,-48,-47,-45,-42,-45,-45,-49
971,0.70-0.74,Faint,VVS1,EX,GD,EX,-44.0,-42.0,-38.0,-45,-49,-47,-43,-41,-44,-43
972,0.70-0.74,Faint,VVS2,EX,GD,EX,-49.0,-45.0,-43.0,-46,-50,-46,-43,-44,-43,-48
973,0.75-0.79,Faint,IF,EX,GD,EX,-41.0,-36.0,-34.0,-38,-44,-41,-39,-36,-37,-38
974,0.75-0.79,Faint,SI1,EX,GD,EX,-48.0,-45.0,-45.0,-40,-39,-35,-33,-39,-36,-44
975,0.75-0.79,Faint,SI2,EX,GD,EX,-51.0,-47.0,-49.0,-44,-39,-39,-33,-40,-39,-40
976,0.75-0.79,Faint,VS1,EX,GD,EX,-43.0,-42.0,-43.0,-40,-42,-37,-36,-39,-38,-43
977,0.75-0.79,Faint,VS2,EX,GD,EX,-48.0,-49.0,-47.0,-43,-40,-36,-36,-39,-36,-45
978,0.75-0.79,Faint,VVS1,EX,GD,EX,-38.0,-34.0,-32.0,-38,-44,-41,-37,-37,-34,-37
979,0.75-0.79,Faint,VVS2,EX,GD,EX,-42.0,-41.0,-39.0,-44,-46,-40,-38,-38,-34,-43
980,0.80-0.89,Faint,IF,EX,GD,EX,-35.0,-29.0,-26.0,-28,-33,-30,-30,-26,-30,-32
981,0.80-0.89,Faint,SI1,EX,GD,EX,-38.0,-39.0,-37.0,-37,-35,-31,-31,-36,-35,-39
982,0.80-0.89,Faint,SI2,EX,GD,EX,-40.0,-44.0,-43.0,-41,-38,-36,-32,-34,-36,-39
983,0.80-0.89,Faint,VS1,EX,GD,EX,-35.0,-34.0,-33.0,-35,-35,-36,-32,-28,-35,-38
984,0.80-0.89,Faint,VS2,EX,GD,EX,-35.0,-36.0,-35.0,-33,-34,-36,-30,-31,-34,-38
985,0.80-0.89,Faint,VVS1,EX,GD,EX,-30.0,-27.0,-27.0,-27,-32,-32,-30,-28,-29,-35
986,0.80-0.89,Faint,VVS2,EX,GD,EX,-33.0,-31.0,-32.0,-32,-35,-34,-30,-23,-33,-40
987,0.90-0.94,Faint,IF,EX,GD,EX,-49.0,-47.0,-46.0,-48,-48,-40,-38,-39,-42,-45
988,0.90-0.94,Faint,SI1,EX,GD,EX,-44.0,-41.0,-41.0,-39,-40,-41,-41,-38,-41,-43
989,0.90-0.94,Faint,SI2,EX,GD,EX,-48.0,-47.0,-43.0,-44,-43,-39,-39,-42,-39,-40
990,0.90-0.94,Faint,VS1,EX,GD,EX,-53.0,-49.0,-44.0,-43,-44,-42,-40,-39,-40,-41
991,0.90-0.94,Faint,VS2,EX,GD,EX,-51.0,-46.0,-45.0,-42,-43,-42,-42,-41,-41,-40
