,Clarity,D,E,F,G,H,I,J,K,L,M,Cut,Polish,Symmetry,Fluo,Size
810,SI1,-62,-63,-64,-61,-57,-57,-54,-54,-52,-53,GD,DD,DD,None,0.50-0.59
811,SI2,-63,-63,-63,-62,-58,-56,-55,-51,-51,-49,GD,DD,DD,None,0.50-0.59
812,IF,-61,-58,-60,-60,-63,-62,-56,-53,-57,-56,GD,DD,DD,Faint,0.50-0.59
813,VVS1,-63,-59,-60,-61,-63,-63,-58,-53,-56,-58,GD,DD,DD,Faint,0.50-0.59
814,VVS2,-67,-65,-65,-65,-62,-62,-58,-59,-55,-58,GD,DD,DD,Faint,0.50-0.59
815,VS1,-67,-67,-67,-65,-64,-61,-57,-58,-57,-56,GD,DD,DD,Faint,0.50-0.59
816,VS2,-67,-67,-67,-67,-64,-61,-56,-61,-55,-55,GD,DD,DD,Faint,0.50-0.59
817,SI1,-67,-67,-67,-65,-60,-60,-57,-57,-55,-56,GD,DD,DD,Faint,0.50-0.59
818,SI2,-67,-67,-67,-66,-61,-59,-58,-54,-54,-52,GD,DD,DD,Faint,0.50-0.59
819,IF,-69,-69,-69,-69,-69,-69,-69,-66,-69,-69,GD,DD,DD,Med,0.50-0.59
820,VVS1,-69,-69,-69,-69,-69,-69,-69,-66,-69,-69,GD,DD,DD,Med,0.50-0.59
821,VVS2,-69,-69,-69,-69,-69,-69,-69,-69,-68,-69,GD,DD,DD,Med,0.50-0.59
822,VS1,-69,-69,-69,-69,-69,-69,-69,-69,-69,-68,GD,DD,DD,Med,0.50-0.59
823,VS2,-69,-69,-69,-69,-69,-69,-68,-69,-67,-67,GD,DD,DD,Med,0.50-0.59
824,SI1,-69,-69,-69,-69,-69,-69,-69,-69,-67,-68,GD,DD,DD,Med,0.50-0.59
825,SI2,-69,-69,-69,-69,-69,-69,-69,-66,-66,-64,GD,DD,DD,Med,0.50-0.59
826,IF,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.50-0.59
827,VVS1,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.50-0.59
828,VVS2,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.50-0.59
829,VS1,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.50-0.59
830,VS2,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.50-0.59
831,SI1,-71,-71,-71,-71,-71,-71,-71,-71,-71,-71,GD,DD,DD,Strong,0.50-0.59
832,SI2,-71,-71,-71,-71,-71,-71,-71,-71,-71,-69,GD,DD,DD,Strong,0.50-0.59
833,IF,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.50-0.59
834,VVS1,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.50-0.59
835,VVS2,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.50-0.59
836,VS1,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.50-0.59
837,VS2,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.50-0.59
838,SI1,-76,-76,-76,-76,-76,-76,-76,-76,-76,-76,GD,DD,DD,Very Strong,0.50-0.59
839,SI2,-76,-76,-76,-76,-76,-76,-76,-76,-76,-74,GD,DD,DD,Very Strong,0.50-0.59
840,IF,-25,-21,-18,-30,-32,-29,-28,-28,-24,-30,EX,EX,EX,None,0.60-0.69
841,VVS1,-26,-20,-19,-28,-32,-32,-26,-29,-27,-30,EX,EX,EX,None,0.60-0.69
842,VVS2,-30,-30,-31,-29,-33,-35,-29,-29,-29,-35,EX,EX,EX,None,0.60-0.69
843,VS1,-29,-31,-30,-32,-33,-35,-28,-29,-28,-32,EX,EX,EX,None,0.60-0.69
844,VS2,-33,-32,-33,-31,-33,-32,-26,-28,-28,-32,EX,EX,EX,None,0.60-0.69
845,SI1,-30,-28,-27,-31,-30,-30,-28,-29,-31,-28,EX,EX,EX,None,0.60-0.69
846,SI2,-28,-30,-32,-32,-31,-30,-30,-28,-29,-30,EX,EX,EX,None,0.60-0.69
847,IF,-33,-27,-23,-34,-36,-33,-31,-30,-26,-32,EX,EX,EX,Faint,0.60-0.69
848,VVS1,-34,-26,-24,-32,-36,-36,-29,-31,-29,-32,EX,EX,EX,Faint,0.60-0.69
849,VVS2,-38,-36,-36,-33,-37,-39,-32,-31,-31,-37,EX,EX,EX,Faint,0.60-0.69
850,VS1,-36,-36,-35,-36,-37,-39,-31,-31,-30,-34,EX,EX,EX,Faint,0.60-0.69
851,VS2,-40,-37,-38,-35,-37,-36,-29,-30,-30,-34,EX,EX,EX,Faint,0.60-0.69
852,SI1,-36,-32,-31,-35,-34,-33,-30,-31,-33,-30,EX,EX,EX,Faint,0.60-0.69
853,SI2,-34,-34,-36,-36,-35,-33,-32,-30,-31,-32,EX,EX,EX,Faint,0.60-0.69
854,IF,-36,-31,-28,-39,-41,-37,-35,-33,-29,-35,EX,EX,EX,Med,0.60-0.69
855,VVS1,-37,-30,-29,-37,-41,-40,-33,-34,-32,-35,EX,EX,EX,Med,0.60-0.69
856,VVS2,-41,-40,-41,-38,-42,-43,-36,-34,-34,-40,EX,EX,EX,Med,0.60-0.69
857,VS1,-40,-41,-39,-41,-42,-42,-34,-34,-33,-37,EX,EX,EX,Med,0.60-0.69
858,VS2,-44,-42,-42,-40,-42,-39,-32,-33,-33,-37,EX,EX,EX,Med,0.60-0.69
859,SI1,-41,-38,-36,-39,-38,-36,-33,-34,-36,-33,EX,EX,EX,Med,0.60-0.69
860,SI2,-39,-40,-41,-40,-39,-36,-35,-33,-34,-35,EX,EX,EX,Med,0.60-0.69
861,IF,-41,-35,-32,-43,-44,-41,-40,-38,-34,-40,EX,EX,EX,Strong,0.60-0.69
862,VVS1,-42,-34,-33,-41,-44,-44,-38,-39,-37,-40,EX,EX,EX,Strong,0.60-0.69
863,VVS2,-46,-44,-45,-42,-45,-47,-41,-39,-39,-45,EX,EX,EX,Strong,0.60-0.69
864,VS1,-44,-44,-43,-44,-45,-46,-39,-39,-38,-42,EX,EX,EX,Strong,0.60-0.69
865,VS2,-48,-45,-46,-43,-45,-43,-37,-38,-38,-42,EX,EX,EX,Strong,0.60-0.69
866,SI1,-45,-41,-40,-42,-41,-40,-38,-39,-41,-38,EX,EX,EX,Strong,0.60-0.69
867,SI2,-43,-43,-45,-43,-42,-40,-40,-38,-39,-40,EX,EX,EX,Strong,0.60-0.69
868,IF,-46,-40,-37,-48,-49,-46,-45,-43,-39,-45,EX,EX,EX,Very Strong,0.60-0.69
869,VVS1,-47,-39,-38,-46,-49,-49,-43,-44,-42,-45,EX,EX,EX,Very Strong,0.60-0.69
870,VVS2,-51,-49,-50,-47,-50,-52,-46,-44,-44,-50,EX,EX,EX,Very Strong,0.60-0.69
871,VS1,-49,-49,-48,-49,-50,-51,-44,-44,-43,-47,EX,EX,EX,Very Strong,0.60-0.69
872,VS2,-53,-50,-51,-48,-50,-48,-42,-43,-43,-47,EX,EX,EX,Very Strong,0.60-0.69
873,SI1,-50,-46,-45,-47,-46,-45,-43,-44,-46,-43,EX,EX,EX,Very Strong,0.60-0.69
874,SI2,-48,-48,-50,-48,-47,-45,-45,-43,-44,-45,EX,EX,EX,Very Strong,0.60-0.69
875,IF,-46,-40,-37,-48,-49,-46,-43,-41,-37,-43,EX,DD,DD,Strong,0.60-0.69
876,VVS1,-47,-39,-38,-46,-49,-49,-41,-42,-40,-43,EX,DD,DD,Strong,0.60-0.69
877,VVS2,-51,-49,-50,-47,-50,-52,-44,-42,-42,-48,EX,DD,DD,Strong,0.60-0.69
878,VS1,-49,-49,-48,-49,-49,-49,-42,-41,-40,-44,EX,DD,DD,Strong,0.60-0.69
879,VS2,-53,-50,-51,-48,-49,-46,-40,-40,-40,-44,EX,DD,DD,Strong,0.60-0.69
880,SI1,-49,-45,-44,-45,-44,-43,-41,-41,-43,-40,EX,DD,DD,Strong,0.60-0.69
881,SI2,-47,-47,-49,-46,-45,-43,-43,-40,-41,-42,EX,DD,DD,Strong,0.60-0.69
882,IF,-30,-26,-23,-35,-37,-34,-31,-31,-27,-33,EX,DD,DD,None,0.60-0.69
883,VVS1,-31,-25,-24,-33,-37,-37,-29,-32,-30,-33,EX,DD,DD,None,0.60-0.69
884,VVS2,-35,-35,-36,-34,-38,-40,-32,-32,-32,-38,EX,DD,DD,None,0.60-0.69
885,VS1,-34,-36,-35,-37,-37,-38,-31,-31,-30,-34,EX,DD,DD,None,0.60-0.69
886,VS2,-38,-37,-38,-36,-37,-35,-29,-30,-30,-34,EX,DD,DD,None,0.60-0.69
887,SI1,-34,-32,-31,-34,-33,-33,-31,-31,-33,-30,EX,DD,DD,None,0.60-0.69
888,SI2,-32,-34,-36,-35,-34,-33,-33,-30,-31,-32,EX,DD,DD,None,0.60-0.69
889,IF,-38,-32,-28,-39,-41,-38,-34,-33,-29,-35,EX,DD,DD,Faint,0.60-0.69
890,VVS1,-39,-31,-29,-37,-41,-41,-32,-34,-32,-35,EX,DD,DD,Faint,0.60-0.69
891,VVS2,-43,-41,-41,-38,-42,-44,-35,-34,-34,-40,EX,DD,DD,Faint,0.60-0.69
892,VS1,-41,-41,-40,-41,-41,-42,-34,-33,-32,-36,EX,DD,DD,Faint,0.60-0.69
893,VS2,-45,-42,-43,-40,-41,-39,-32,-32,-32,-36,EX,DD,DD,Faint,0.60-0.69
894,SI1,-40,-36,-35,-38,-37,-36,-33,-33,-35,-32,EX,DD,DD,Faint,0.60-0.69
895,SI2,-38,-38,-40,-39,-38,-36,-35,-32,-33,-34,EX,DD,DD,Faint,0.60-0.69
896,IF,-41,-36,-33,-44,-46,-42,-38,-36,-32,-38,EX,DD,DD,Med,0.60-0.69
897,VVS1,-42,-35,-34,-42,-46,-45,-36,-37,-35,-38,EX,DD,DD,Med,0.60-0.69
898,VVS2,-46,-45,-46,-43,-47,-48,-39,-37,-37,-43,EX,DD,DD,Med,0.60-0.69
899,VS1,-45,-46,-44,-46,-46,-45,-37,-36,-35,-39,EX,DD,DD,Med,0.60-0.69
900,VS2,-49,-47,-47,-45,-46,-42,-35,-35,-35,-39,EX,DD,DD,Med,0.60-0.69
901,SI1,-45,-42,-40,-42,-41,-39,-36,-36,-38,-35,EX,DD,DD,Med,0.60-0.69
902,SI2,-43,-44,-45,-43,-42,-39,-38,-35,-36,-37,EX,DD,DD,Med,0.60-0.69
903,IF,-51,-45,-42,-53,-54,-51,-48,-46,-42,-48,EX,DD,DD,Very Strong,0.60-0.69
904,VVS1,-52,-44,-43,-51,-54,-54,-46,-47,-45,-48,EX,DD,DD,Very Strong,0.60-0.69
905,VVS2,-56,-54,-55,-52,-55,-57,-49,-47,-47,-53,EX,DD,DD,Very Strong,0.60-0.69
906,VS1,-54,-54,-53,-54,-54,-54,-47,-46,-45,-49,EX,DD,DD,Very Strong,0.60-0.69
907,VS2,-58,-55,-56,-53,-54,-51,-45,-45,-45,-49,EX,DD,DD,Very Strong,0.60-0.69
908,SI1,-54,-50,-49,-50,-49,-48,-46,-46,-48,-45,EX,DD,DD,Very Strong,0.60-0.69
909,SI2,-52,-52,-54,-51,-50,-48,-48,-45,-46,-47,EX,DD,DD,Very Strong,0.60-0.69
910,IF,-40,-35,-31,-41,-43,-39,-37,-36,-32,-38,VG,DD,DD,None,0.60-0.69
911,VVS1,-41,-34,-32,-39,-43,-42,-35,-37,-35,-38,VG,DD,DD,None,0.60-0.69
912,VVS2,-45,-44,-44,-40,-44,-45,-38,-37,-37,-43,VG,DD,DD,None,0.60-0.69
913,VS1,-43,-44,-42,-43,-44,-45,-37,-37,-36,-40,VG,DD,DD,None,0.60-0.69
914,VS2,-47,-45,-45,-42,-44,-42,-35,-36,-36,-40,VG,DD,DD,None,0.60-0.69
915,SI1,-41,-39,-38,-42,-40,-39,-37,-37,-39,-36,VG,DD,DD,None,0.60-0.69
916,SI2,-39,-41,-43,-43,-41,-39,-39,-36,-37,-38,VG,DD,DD,None,0.60-0.69
917,IF,-48,-41,-36,-45,-47,-43,-40,-38,-34,-40,VG,DD,DD,Faint,0.60-0.69
918,VVS1,-49,-40,-37,-43,-47,-46,-38,-39,-37,-40,VG,DD,DD,Faint,0.60-0.69
919,VVS2,-53,-50,-49,-44,-48,-49,-41,-39,-39,-45,VG,DD,DD,Faint,0.60-0.69
920,VS1,-50,-49,-47,-47,-48,-49,-40,-39,-38,-42,VG,DD,DD,Faint,0.60-0.69
921,VS2,-54,-50,-50,-46,-48,-46,-38,-38,-38,-42,VG,DD,DD,Faint,0.60-0.69
922,SI1,-47,-43,-42,-46,-44,-42,-39,-39,-41,-38,VG,DD,DD,Faint,0.60-0.69
923,SI2,-45,-45,-47,-47,-45,-42,-41,-38,-39,-40,VG,DD,DD,Faint,0.60-0.69
924,IF,-51,-45,-41,-50,-52,-47,-44,-41,-37,-43,VG,DD,DD,Med,0.60-0.69
925,VVS1,-52,-44,-42,-48,-52,-50,-42,-42,-40,-43,VG,DD,DD,Med,0.60-0.69
926,VVS2,-56,-54,-54,-49,-53,-53,-45,-42,-42,-48,VG,DD,DD,Med,0.60-0.69
927,VS1,-54,-54,-51,-52,-53,-52,-43,-42,-41,-45,VG,DD,DD,Med,0.60-0.69
928,VS2,-58,-55,-54,-51,-53,-49,-41,-41,-41,-45,VG,DD,DD,Med,0.60-0.69
929,SI1,-52,-49,-47,-50,-48,-45,-42,-42,-44,-41,VG,DD,DD,Med,0.60-0.69
930,SI2,-50,-51,-52,-51,-49,-45,-44,-41,-42,-43,VG,DD,DD,Med,0.60-0.69
931,IF,-56,-49,-45,-54,-55,-51,-49,-46,-42,-48,VG,DD,DD,Strong,0.60-0.69
932,VVS1,-57,-48,-46,-52,-55,-54,-47,-47,-45,-48,VG,DD,DD,Strong,0.60-0.69
933,VVS2,-61,-58,-58,-53,-56,-57,-50,-47,-47,-53,VG,DD,DD,Strong,0.60-0.69
934,VS1,-58,-57,-55,-55,-56,-56,-48,-47,-46,-50,VG,DD,DD,Strong,0.60-0.69
935,VS2,-62,-58,-58,-54,-56,-53,-46,-46,-46,-50,VG,DD,DD,Strong,0.60-0.69
936,SI1,-56,-52,-51,-53,-51,-49,-47,-47,-49,-46,VG,DD,DD,Strong,0.60-0.69
937,SI2,-54,-54,-56,-54,-52,-49,-49,-46,-47,-48,VG,DD,DD,Strong,0.60-0.69
938,IF,-61,-54,-50,-59,-60,-56,-54,-51,-47,-53,VG,DD,DD,Very Strong,0.60-0.69
939,VVS1,-62,-53,-51,-57,-60,-59,-52,-52,-50,-53,VG,DD,DD,Very Strong,0.60-0.69
940,VVS2,-66,-63,-63,-58,-61,-62,-55,-52,-52,-58,VG,DD,DD,Very Strong,0.60-0.69
941,VS1,-63,-62,-60,-60,-61,-61,-53,-52,-51,-55,VG,DD,DD,Very Strong,0.60-0.69
942,VS2,-67,-63,-63,-59,-61,-58,-51,-51,-51,-55,VG,DD,DD,Very Strong,0.60-0.69
943,SI1,-61,-57,-56,-58,-56,-54,-52,-52,-54,-51,VG,DD,DD,Very Strong,0.60-0.69
944,SI2,-59,-59,-61,-59,-57,-54,-54,-51,-52,-53,VG,DD,DD,Very Strong,0.60-0.69
945,IF,-50,-45,-40,-50,-51,-48,-46,-46,-42,-48,GD,DD,DD,None,0.60-0.69
946,VVS1,-51,-44,-41,-48,-51,-51,-44,-47,-45,-48,GD,DD,DD,None,0.60-0.69
947,VVS2,-55,-54,-53,-49,-52,-54,-47,-47,-47,-53,GD,DD,DD,None,0.60-0.69
948,VS1,-54,-55,-52,-52,-52,-54,-46,-47,-46,-50,GD,DD,DD,None,0.60-0.69
949,VS2,-58,-56,-55,-51,-52,-51,-44,-46,-46,-50,GD,DD,DD,None,0.60-0.69
950,SI1,-55,-52,-49,-51,-48,-48,-46,-47,-49,-46,GD,DD,DD,None,0.60-0.69
951,SI2,-53,-54,-54,-52,-49,-48,-48,-46,-47,-48,GD,DD,DD,None,0.60-0.69
952,IF,-56,-51,-46,-55,-56,-51,-49,-49,-45,-51,GD,DD,DD,Faint,0.60-0.69
953,VVS1,-57,-50,-47,-53,-56,-54,-47,-50,-48,-51,GD,DD,DD,Faint,0.60-0.69
954,VVS2,-61,-60,-59,-54,-57,-57,-50,-50,-50,-56,GD,DD,DD,Faint,0.60-0.69
955,VS1,-60,-60,-57,-57,-56,-57,-49,-50,-49,-53,GD,DD,DD,Faint,0.60-0.69
956,VS2,-64,-61,-60,-56,-56,-54,-47,-49,-49,-53,GD,DD,DD,Faint,0.60-0.69
957,SI1,-60,-56,-53,-55,-51,-51,-49,-49,-51,-48,GD,DD,DD,Faint,0.60-0.69
958,SI2,-58,-58,-58,-56,-52,-51,-51,-48,-49,-50,GD,DD,DD,Faint,0.60-0.69
959,IF,-69,-65,-59,-68,-69,-66,-64,-63,-59,-65,GD,DD,DD,Med,0.60-0.69
960,VVS1,-69,-64,-60,-66,-69,-69,-62,-64,-62,-65,GD,DD,DD,Med,0.60-0.69
961,VVS2,-69,-69,-69,-67,-69,-69,-65,-64,-64,-69,GD,DD,DD,Med,0.60-0.69
962,VS1,-69,-69,-69,-69,-69,-69,-64,-63,-62,-66,GD,DD,DD,Med,0.60-0.69
963,VS2,-69,-69,-69,-69,-69,-69,-62,-62,-62,-66,GD,DD,DD,Med,0.60-0.69
964,SI1,-69,-68,-65,-67,-64,-64,-61,-61,-63,-60,GD,DD,DD,Med,0.60-0.69
965,SI2,-69,-69,-69,-68,-65,-64,-63,-60,-61,-62,GD,DD,DD,Med,0.60-0.69
966,IF,-71,-70,-64,-71,-71,-71,-69,-68,-64,-70,GD,DD,DD,Strong,0.60-0.69
967,VVS1,-71,-69,-65,-71,-71,-71,-67,-69,-67,-70,GD,DD,DD,Strong,0.60-0.69
968,VVS2,-71,-71,-71,-71,-71,-71,-70,-69,-69,-71,GD,DD,DD,Strong,0.60-0.69
969,VS1,-71,-71,-71,-71,-71,-71,-69,-68,-67,-71,GD,DD,DD,Strong,0.60-0.69
970,VS2,-71,-71,-71,-71,-71,-71,-67,-67,-67,-71,GD,DD,DD,Strong,0.60-0.69
971,SI1,-71,-71,-70,-71,-69,-69,-66,-66,-68,-65,GD,DD,DD,Strong,0.60-0.69
972,SI2,-71,-71,-71,-71,-70,-69,-68,-65,-66,-67,GD,DD,DD,Strong,0.60-0.69
973,IF,-76,-75,-69,-76,-76,-76,-74,-73,-69,-75,GD,DD,DD,Very Strong,0.60-0.69
974,VVS1,-76,-74,-70,-76,-76,-76,-72,-74,-72,-75,GD,DD,DD,Very Strong,0.60-0.69
975,VVS2,-76,-76,-76,-76,-76,-76,-75,-74,-74,-76,GD,DD,DD,Very Strong,0.60-0.69
976,VS1,-76,-76,-76,-76,-76,-76,-74,-73,-72,-76,GD,DD,DD,Very Strong,0.60-0.69
977,VS2,-76,-76,-76,-76,-76,-76,-72,-72,-72,-76,GD,DD,DD,Very Strong,0.60-0.69
978,SI1,-76,-76,-75,-76,-74,-74,-71,-71,-73,-70,GD,DD,DD,Very Strong,0.60-0.69
979,SI2,-76,-76,-76,-76,-75,-74,-73,-70,-71,-72,GD,DD,DD,Very Strong,0.60-0.69
980,IF,-31,-27,-27,-29,-37,-33,-33,-32,-30,-30,EX,EX,EX,None,0.70-0.74
981,VVS1,-27,-25,-26,-31,-35,-32,-30,-30,-33,-31,EX,EX,EX,None,0.70-0.74
982,VVS2,-32,-29,-28,-33,-35,-32,-31,-33,-32,-38,EX,EX,EX,None,0.70-0.74
983,VS1,-33,-34,-33,-30,-35,-30,-29,-29,-32,-37,EX,EX,EX,None,0.70-0.74
984,VS2,-37,-35,-36,-36,-32,-35,-31,-34,-34,-37,EX,EX,EX,None,0.70-0.74
985,SI1,-40,-38,-34,-34,-33,-33,-31,-31,-33,-35,EX,EX,EX,None,0.70-0.74
986,SI2,-39,-38,-38,-37,-34,-32,-33,-34,-33,-29,EX,EX,EX,None,0.70-0.74
987,IF,-38,-33,-32,-34,-42,-38,-37,-35,-33,-33,EX,EX,EX,Faint,0.70-0.74
988,VVS1,-34,-31,-31,-36,-40,-37,-34,-33,-36,-34,EX,EX,EX,Faint,0.70-0.74
989,VVS2,-39,-35,-33,-38,-40,-37,-35,-36,-35,-41,EX,EX,EX,Faint,0.70-0.74
990,VS1,-40,-40,-38,-35,-40,-34,-32,-32,-35,-40,EX,EX,EX,Faint,0.70-0.74
991,VS2,-44,-41,-41,-41,-37,-39,-34,-37,-37,-40,EX,EX,EX,Faint,0.70-0.74
992,SI1,-47,-44,-39,-39,-37,-37,-34,-34,-36,-38,EX,EX,EX,Faint,0.70-0.74
993,SI2,-46,-44,-43,-42,-38,-36,-36,-37,-36,-32,EX,EX,EX,Faint,0.70-0.74
994,IF,-43,-38,-38,-39,-46,-42,-41,-40,-38,-38,EX,EX,EX,Med,0.70-0.74
995,VVS1,-39,-36,-37,-41,-44,-41,-38,-38,-41,-39,EX,EX,EX,Med,0.70-0.74
996,VVS2,-44,-40,-39,-43,-44,-41,-39,-41,-40,-46,EX,EX,EX,Med,0.70-0.74
997,VS1,-45,-46,-43,-40,-44,-39,-37,-37,-40,-45,EX,EX,EX,Med,0.70-0.74
998,VS2,-49,-47,-46,-46,-41,-44,-39,-42,-42,-45,EX,EX,EX,Med,0.70-0.74
999,SI1,-50,-48,-43,-42,-41,-40,-38,-38,-40,-42,EX,EX,EX,Med,0.70-0.74
1000,SI2,-49,-48,-47,-45,-42,-39,-40,-41,-40,-36,EX,EX,EX,Med,0.70-0.74
1001,IF,-51,-47,-46,-48,-55,-51,-50,-48,-46,-46,EX,EX,EX,Strong,0.70-0.74
1002,VVS1,-47,-45,-45,-50,-53,-50,-47,-46,-49,-47,EX,EX,EX,Strong,0.70-0.74
1003,VVS2,-52,-49,-47,-52,-53,-50,-48,-49,-48,-54,EX,EX,EX,Strong,0.70-0.74
1004,VS1,-49,-50,-48,-45,-50,-45,-43,-41,-44,-49,EX,EX,EX,Strong,0.70-0.74
1005,VS2,-53,-51,-51,-51,-47,-50,-45,-46,-46,-49,EX,EX,EX,Strong,0.70-0.74
1006,SI1,-54,-51,-47,-47,-46,-45,-42,-42,-44,-46,EX,EX,EX,Strong,0.70-0.74
1007,SI2,-53,-51,-51,-50,-47,-44,-44,-45,-44,-40,EX,EX,EX,Strong,0.70-0.74
1008,IF,-56,-52,-51,-53,-60,-56,-55,-53,-51,-51,EX,EX,EX,Very Strong,0.70-0.74
1009,VVS1,-52,-50,-50,-55,-58,-55,-52,-51,-54,-52,EX,EX,EX,Very Strong,0.70-0.74
1010,VVS2,-57,-54,-52,-57,-58,-55,-53,-54,-53,-59,EX,EX,EX,Very Strong,0.70-0.74
1011,VS1,-54,-55,-53,-50,-55,-50,-48,-46,-49,-54,EX,EX,EX,Very Strong,0.70-0.74
1012,VS2,-58,-56,-56,-56,-52,-55,-50,-51,-51,-54,EX,EX,EX,Very Strong,0.70-0.74
1013,SI1,-59,-56,-52,-52,-51,-50,-47,-47,-49,-51,EX,EX,EX,Very Strong,0.70-0.74
1014,SI2,-58,-56,-56,-55,-52,-49,-49,-50,-49,-45,EX,EX,EX,Very Strong,0.70-0.74
1015,IF,-56,-51,-50,-52,-59,-55,-53,-51,-49,-49,EX,DD,DD,Strong,0.70-0.74
1016,VVS1,-52,-49,-49,-54,-57,-54,-50,-49,-52,-50,EX,DD,DD,Strong,0.70-0.74
1017,VVS2,-57,-53,-51,-56,-57,-54,-51,-52,-51,-57,EX,DD,DD,Strong,0.70-0.74
1018,VS1,-53,-54,-52,-49,-54,-48,-46,-44,-47,-52,EX,DD,DD,Strong,0.70-0.74
1019,VS2,-57,-55,-55,-55,-51,-53,-48,-49,-49,-52,EX,DD,DD,Strong,0.70-0.74
1020,SI1,-58,-55,-51,-51,-50,-48,-45,-44,-46,-48,EX,DD,DD,Strong,0.70-0.74
1021,SI2,-57,-55,-55,-54,-51,-47,-47,-47,-46,-42,EX,DD,DD,Strong,0.70-0.74
1022,IF,-36,-31,-31,-33,-41,-37,-36,-35,-33,-33,EX,DD,DD,None,0.70-0.74
1023,VVS1,-32,-29,-30,-35,-39,-36,-33,-33,-36,-34,EX,DD,DD,None,0.70-0.74
1024,VVS2,-37,-33,-32,-37,-39,-36,-34,-36,-35,-41,EX,DD,DD,None,0.70-0.74
1025,VS1,-37,-38,-37,-34,-39,-33,-32,-32,-35,-40,EX,DD,DD,None,0.70-0.74
1026,VS2,-41,-39,-40,-40,-36,-38,-34,-37,-37,-40,EX,DD,DD,None,0.70-0.74
1027,SI1,-44,-42,-38,-38,-37,-36,-34,-33,-35,-37,EX,DD,DD,None,0.70-0.74
1028,SI2,-43,-42,-42,-41,-38,-35,-36,-36,-35,-31,EX,DD,DD,None,0.70-0.74
1029,IF,-43,-37,-36,-38,-46,-42,-40,-38,-36,-36,EX,DD,DD,Faint,0.70-0.74
1030,VVS1,-39,-35,-35,-40,-44,-41,-37,-36,-39,-37,EX,DD,DD,Faint,0.70-0.74
1031,VVS2,-44,-39,-37,-42,-44,-41,-38,-39,-38,-44,EX,DD,DD,Faint,0.70-0.74
1032,VS1,-44,-44,-42,-39,-44,-37,-35,-35,-38,-43,EX,DD,DD,Faint,0.70-0.74
1033,VS2,-48,-45,-45,-45,-41,-42,-37,-40,-40,-43,EX,DD,DD,Faint,0.70-0.74
1034,SI1,-51,-48,-43,-43,-41,-40,-37,-36,-38,-40,EX,DD,DD,Faint,0.70-0.74
1035,SI2,-50,-48,-47,-46,-42,-39,-39,-39,-38,-34,EX,DD,DD,Faint,0.70-0.74
1036,IF,-48,-42,-42,-43,-50,-46,-44,-43,-41,-41,EX,DD,DD,Med,0.70-0.74
1037,VVS1,-44,-40,-41,-45,-48,-45,-41,-41,-44,-42,EX,DD,DD,Med,0.70-0.74
1038,VVS2,-49,-44,-43,-47,-48,-45,-42,-44,-43,-49,EX,DD,DD,Med,0.70-0.74
1039,VS1,-49,-50,-47,-44,-48,-42,-40,-40,-43,-48,EX,DD,DD,Med,0.70-0.74
1040,VS2,-53,-51,-50,-50,-45,-47,-42,-45,-45,-48,EX,DD,DD,Med,0.70-0.74
1041,SI1,-54,-52,-47,-46,-45,-43,-41,-40,-42,-44,EX,DD,DD,Med,0.70-0.74
1042,SI2,-53,-52,-51,-49,-46,-42,-43,-43,-42,-38,EX,DD,DD,Med,0.70-0.74
1043,IF,-61,-56,-55,-57,-64,-60,-58,-56,-54,-54,EX,DD,DD,Very Strong,0.70-0.74
1044,VVS1,-57,-54,-54,-59,-62,-59,-55,-54,-57,-55,EX,DD,DD,Very Strong,0.70-0.74
1045,VVS2,-62,-58,-56,-61,-62,-59,-56,-57,-56,-62,EX,DD,DD,Very Strong,0.70-0.74
1046,VS1,-58,-59,-57,-54,-59,-53,-51,-49,-52,-57,EX,DD,DD,Very Strong,0.70-0.74
1047,VS2,-62,-60,-60,-60,-56,-58,-53,-54,-54,-57,EX,DD,DD,Very Strong,0.70-0.74
1048,SI1,-63,-60,-56,-56,-55,-53,-50,-49,-51,-53,EX,DD,DD,Very Strong,0.70-0.74
1049,SI2,-62,-60,-60,-59,-56,-52,-52,-52,-51,-47,EX,DD,DD,Very Strong,0.70-0.74
1050,IF,-44,-40,-38,-40,-48,-44,-42,-41,-39,-39,VG,DD,DD,None,0.70-0.74
1051,VVS1,-40,-38,-37,-42,-46,-43,-39,-39,-42,-40,VG,DD,DD,None,0.70-0.74
1052,VVS2,-45,-42,-39,-44,-46,-43,-40,-42,-41,-47,VG,DD,DD,None,0.70-0.74
1053,VS1,-45,-46,-45,-41,-46,-40,-39,-38,-41,-46,VG,DD,DD,None,0.70-0.74
